"Z_tech_index", "country", "year", "format", "label", "type", "genre", "style", "id", "barcode", "master_id", "master_url", "uri", "catno", "title", "thumb", "cover_image", "resource_url", "community", "format_quantity", "formats"
"167","UK","2000","['CD', 'Compilation']","['Columbia', 'Columbia', 'Top Of The Pops', 'Deconstruction', 'Sony Music', 'Sony Music Entertainment (UK) Ltd.', 'MCA Records Ltd.', 'Warner Music UK Ltd.', 'STIP', 'BBC Worldwide Ltd.', 'BMG Records (UK) Ltd.', 'Warner Music UK Ltd.', 'Deceptive Records', 'Virgin Records Ltd.', 'The Brilliant Recording Co. Ltd.', 'MCA Records Ltd.', 'Planet 3 Records Ltd.', 'Zomba Records Ltd.', 'Hot Music Holding B.V.', 'Passion Music Ltd.', 'Fresh Records', 'Untouchables Entertainment, Inc.', 'Zomba Management', 'Big Ocean Productions', 'Wild Apache Prod. Inc.', 'Taxi Productions Inc.', 'Dashiki Productions, Inc.', 'Quickmania Inc.', 'Lee Marrow Production', 'Z Management', 'Crossover Productions', 'New Jack Swing Productions', 'Sony Music Entertainment (UK) Ltd.', 'Sony Music Entertainment (Canada) Inc.', 'Sony Music Productions Pty. Ltd.', 'MJJ Music', 'BMG Records (UK) Ltd.', 'BMG Music', 'Creation Records Ltd.', 'Warner Music UK Ltd.', 'R.E.M./Athens Ltd', 'Indolent Records', 'Deceptive Records Ltd.', 'Virgin Records Ltd.', 'The Brilliant Recording Co. Ltd.', 'Sony Music Entertainment Inc.', 'BMG Ariola Hamburg GmbH', 'Logic Records Ltd.', 'Undiscovered Records', 'Planet 3 Records Ltd.', 'Zomba Recording Corporation', 'Sony Music Entertainment (Germany) GmbH', 'Anzilotti & Münzing', 'ROBYX SRL', 'MCA Records, Inc.', 'Sing Sing', 'BMG Ariola Media', 'Passion Music Ltd.', 'Fresh Records', 'Sony Music Entertainment (UK) Ltd.', 'British Broadcasting Corporation', 'Sony Music', 'Pillarview B.V.', 'EMI Virgin Music Ltd.', 'Copyright Control', 'brown girl music', 'The Night Rainbow Music', 'Orisha Music', 'Stone Jam Music Publishing', 'Ness, Nitty & Capone', 'Wb Music Corp.', 'BMG Music Publishing Ltd.', 'EMI Music Publishing Ltd.', 'Eaton Music Ltd.', 'Rhythm King Music', 'Chrysalis Music Ltd.', 'Creation Songs Ltd.', 'Sony Music Publishing', 'EMI Music', 'Complete Music', 'Michael Rutherford Ltd.', 'Hit & Run Music (Publishing) Ltd.', 'Plangent Visions Music', 'Ferret Music Ltd', 'Rising Sons Music Inc.', 'EMI Blackwood Music Inc.', 'First Avenue Music', 'Mat Music', 'EMI United Partnership', 'Salaam Remi Music', 'Pine Publishing', 'Longitude Music', 'Maxximum Songs', 'MCA Music Ltd.', 'Warner Chappell Music Ltd.', 'Zomba Music Publishers Ltd.', 'So So Def Music', 'EMI April Music Inc.', 'Air Control', 'Perfect Music Ltd.', 'Diana Music & Vision', 'Sun Of Sing Sing', 'Crossover Productions', 'Skratch Music Publishing', 'EMI Tunes Ltd', 'Fresh Songs', 'Chrysalis Music', 'Spacelab', '77 Studio', 'Battery Studios, London', 'Spacelab', 'Boogie Park Studio', 'Future Sound Laboratories', 'Sony DADC']","release","['Electronic', 'Rock', 'Pop']","['House', 'Downtempo', 'Euro House', 'Synth-pop', 'Britpop']","676080","['5 099748 033826', '5099748033826', 'LC 0162', 'SACEM SDRM SACD SCDL', 'BIEM MCPS', 'ASCAP GEMA/BIEM BMI MCPS', '31-480338-10', 'Sony Music 1-31-480338-10 35 A5', 'IFPI L555', 'none visible', 'Sony Music 2-31-480338-10  24 A3', 'IFPI L554', 'IFPI 94B5', 'Sony Music 1-31-480338-10 35 B6', 'IFPI L555', 'IFPI 946C', 'Sony Music S3148033810-0202 53 A2', 'IFPI L553', 'IFPI 946C', 'Sony Music 1-31-480338-10 35 B3', 'IFPI L555', 'none', 'Sony Music 2-31-480338-10 14 B2', 'IFPI L554', 'none', 'Sony Music 1-31-480338-10 35 A3', 'IFPI L555', 'none', 'Sony Music 2-31-480338-10 14 A2', 'IFPI L554', 'none', 'Sony Music 1-31-480338-10 35 B5', 'IFPI L555', 'none', 'Sony Music 2-31-480338-10 14 B2', 'IFPI L554', 'none', 'Sony Music 1-31-480338-10 35 B6', 'IFPI L555', 'IFPI 9412', 'Sony Music S3148033810 0202 53 A2', 'IFPI L553', 'IFPI 94G4']","3224485","https://api.discogs.com/masters/3224485","/release/676080-Various-Top-Of-The-Pops-1","MOOD CD40","Various - Top Of The Pops 1","","","https://api.discogs.com/releases/676080","{'want': 18, 'have': 214}","2","[{'name': 'CD', 'qty': '2', 'descriptions': ['Compilation']}]"
"168","France","2000","['Box Set', 'Limited Edition', 'CD', 'Compilation']","['Milan', 'St. Moritz Vibes']","release","['Electronic', 'Hip Hop', 'Jazz', 'Rock', 'Latin', 'Funk / Soul']","['Folk Rock', 'Latin', 'Trip Hop', 'Jazzdance', 'Acid Jazz', 'House', 'Dub', 'Soul', 'Disco', 'Samba', 'Deep House', 'Ambient', 'Future Jazz', 'Easy Listening', 'Downtempo', 'Latin Jazz']","942659","[]","0","None","/release/942659-Various-St-Moritz-Vibes-At-Badrutts-Palace-Hotel","399 073-2","Various - St. Moritz Vibes At Badrutt's Palace Hotel","","","https://api.discogs.com/releases/942659","{'want': 63, 'have': 17}","5","[{'name': 'Box Set', 'qty': '1', 'descriptions': ['Limited Edition']}, {'name': 'CD', 'qty': '5', 'descriptions': ['Compilation']}]"
"169","Netherlands","2004","['File', 'MP3', 'Album']","['Not On Label (GilvaSunner Self-released)']","release","['Electronic', 'Rock', 'Non-Music', 'Pop']","['Parody', 'Comedy', 'Chiptune', 'Experimental']","8850889","[]","1037125","https://api.discogs.com/masters/1037125","/GilvaSunner-GiIvaSunners-Highest-Quality-Video-Game-Rips-Volume-666-/release/8850889","none","GilvaSunner - GiIvaSunner's Highest Quality Video Game Rips: Volume 6​.​66 ","","","https://api.discogs.com/releases/8850889","{'want': 4, 'have': 4}","0","[{'name': 'File', 'qty': '331', 'text': '320 kbps', 'descriptions': ['MP3', 'Album']}]"
"170","Netherlands","2004","['File', 'FLAC', 'Album']","['Not On Label (GilvaSunner Self-released)']","release","['Electronic', 'Rock', 'Non-Music', 'Pop']","['Parody', 'Comedy', 'Chiptune', 'Experimental']","8851947","[]","1037125","https://api.discogs.com/masters/1037125","/GilvaSunner-GiIvaSunners-Highest-Quality-Video-Game-Rips-Volume-666-/release/8851947","none","GilvaSunner - GiIvaSunner's Highest Quality Video Game Rips: Volume 6​.​66 ","","","https://api.discogs.com/releases/8851947","{'want': 1, 'have': 2}","0","[{'name': 'File', 'qty': '331', 'descriptions': ['FLAC', 'Album']}]"
"171","UK","2000","['Vinyl', '12']","['Carioca Records']","release","['Electronic']","['Tech House']","1044111","['5060065334408']","221817","https://api.discogs.com/masters/221817","/Nick-Danny-Chatelain-Love-Lies/release/1044111","YOS 013","Nick & Danny Chatelain - Love Lies","","","https://api.discogs.com/releases/1044111","{'want': 23, 'have': 79}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12']}]"
"172","UK","2002","['Vinyl', '12', 'White Label', 'Promo']","['Carioca Records']","release","['Electronic']","['Tech House']","3657460","[]","0","None","/Nick-Danny-Chatelain-Love-Lies/release/3657460","YOS 013","Nick & Danny Chatelain - Love Lies","","","https://api.discogs.com/releases/3657460","{'want': 6, 'have': 3}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', 'White Label', 'Promo']}]"
"173","US","2002","['Vinyl', '12', '33 ⅓ RPM']","['Under My Skin Records', 'Under My Skin Records', 'UMS Publishing', 'Dream Family Studio', 'Turnstyle Records']","release","['Electronic']","['Deep House', 'Garage House']","262885","['ASCAP', 'UMS 007 A', 'UMS 007 B']","0","None","/release/262885-Nikos-City-Of-Angels","UMS-007","Nikos - City Of Angels","","","https://api.discogs.com/releases/262885","{'want': 22, 'have': 109}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', '33 ⅓ RPM']}]"
"174","Germany","2001","['Vinyl', '12', '33 ⅓ RPM']","['Respect! Records', 'Respect!', 'Respect!', 'Edition Trancelate', 'EMI Songs', 'SST Brüggemann GmbH', 'Discomania']","release","['Electronic']","['House']","721893","['RES 003 A SST 33 UPM', 'RES 003 B SST 33 UPM', 'LC 3581']","257530","https://api.discogs.com/masters/257530","/Outreach-Cant-Stop-Loving/release/721893","RES003","Outreach - Can't Stop Loving","","","https://api.discogs.com/releases/721893","{'want': 50, 'have': 52}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', '33 ⅓ RPM']}]"
"175","Germany","2001","['CD', 'Maxi-Single']","['Respect! Records', 'Respect!', 'Respect!', 'Edition Trancelate', 'EMI Songs']","release","['Electronic']","['House']","2147613","['4 014235 283714', '4014235283714']","257530","https://api.discogs.com/masters/257530","/Outreach-Cant-Stop-Loving/release/2147613","RES-003cd","Outreach - Can't Stop Loving","","","https://api.discogs.com/releases/2147613","{'want': 4, 'have': 1}","1","[{'name': 'CD', 'qty': '1', 'descriptions': ['Maxi-Single']}]"
"176","UK","2001","['Vinyl', '12', '33 ⅓ RPM']","['Shoreline Records', 'Shoreline Records', 'Soundquest Studios', 'Shoreline Music', 'Shoreline Records', 'Shoreline Music', 'Absolute Marketing & Distribution Ltd.', 'Absolute Marketing & Distribution Ltd.', 'Universal', 'Universal', 'Ideal']","release","['Electronic']","['House', 'Tech House']","238976","['SHO 001 - A1 TIM D C', 'SHO 001 - B1 K']","4165672","https://api.discogs.com/masters/4165672","/release/238976-Pizzaconnection-Aus-Musika","SHO 001","Pizzaconnection* - Aus Musika","","","https://api.discogs.com/releases/238976","{'want': 28, 'have': 94}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', '33 ⅓ RPM']}]"
