Z_tech_index,country,year,format,label,type,genre,style,id,barcode,master_id,master_url,uri,catno,title,thumb,cover_image,resource_url,community,format_quantity,formats,etag
1502,France,2002,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Scream Records"", ""Gum Prod"", ""Wake Up Music"", ""Square Rivoli Publishing"", ""Square Prod Studio""]",release,"[""Electronic""]","[""Progressive House"", ""House""]",61950,"[""SCR 002 A"", ""SCR 002 B""]",0,,/Chris-Pi-Across/release/61950,SCR 002,Chris Pi - Across,,,https://api.discogs.com/releases/61950,"{""want"": 314, ""have"": 126}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",89piQlPVcuSAhfxF1lZUSVaJTBU
1503,UK,1995,"[""Vinyl"", ""12\""""]","[""M-Ocean""]",release,"[""Electronic""]","[""House"", ""Tribal"", ""Tech House""]",7199763,[],1311507,https://api.discogs.com/masters/1311507,/Powder-Productions-Cool-WorldPowder/release/7199763,MOCEAN002,Powder Productions - Cool World/Powder,,,https://api.discogs.com/releases/7199763,"{""want"": 96, ""have"": 15}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\""""]}]",1V1HgiAAk5xqK5-xgza8B_ALiyg
1504,UK,1996,"[""Vinyl"", ""12\"""", ""White Label""]","[""M-Ocean""]",release,"[""Electronic""]","[""House"", ""Tribal House"", ""Tech House""]",2219374,[],1311507,https://api.discogs.com/masters/1311507,/Powder-Productions-Cool-World-Powder/release/2219374,MOCEAN002,Powder Productions - Cool World / Powder,,,https://api.discogs.com/releases/2219374,"{""want"": 46, ""have"": 6}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""text"": ""Stickered"", ""descriptions"": [""12\"""", ""White Label""]}]",1V1HgiAAk5xqK5-xgza8B_ALiyg
1505,Italy,1997,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Japan Zero"", ""Disco Inn Srl""]",release,"[""Electronic""]","[""House"", ""Tech House""]",886068,"[""8019991671436"", ""S.I.A.E."", ""JAPAN 02 A"", ""JAPAN 02 B""]",723315,https://api.discogs.com/masters/723315,/release/886068-Pling-Plong-Freak-Fire-Remix-By-Bongomanero,JAPAN 02,Pling Plong - Freak Fire (Remix By Bongomanero),,,https://api.discogs.com/releases/886068,"{""want"": 283, ""have"": 66}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",IFCM-zhNyrGawDmEgyByTBv4bzc
1506,Canada,1995,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Sonic Recordings""]",release,"[""Electronic""]","[""Techno""]",2619955,[],0,,/M-X-The-Sound-EP/release/2619955,1-SON,M-X - The Sound EP,,,https://api.discogs.com/releases/2619955,"{""want"": 141, ""have"": 39}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",QVr1-qc05Tt1zIRKJT_YgORTwDg
1507,Europe,1996,"[""CD"", ""Compilation"", ""Stereo""]","[""Polystar"", ""Polystar"", ""Polystar"", ""Formel Eins"", ""PolyGram GmbH"", ""PolyGram GmbH"", ""Polystar"", ""Polymedia Marketing Projects"", ""Montana Media""]",release,"[""Electronic"", ""Hip Hop"", ""Rock"", ""Pop""]","[""Trance"", ""Pop Rap"", ""Europop"", ""Synth-pop"", ""Euro House"", ""Eurodance""]",3097797,"[""7 31453 58662 8"", ""731453586628"", ""LC 4324"", ""BIEM | MCPS"", ""535 867-2 01 >"", ""535 868-2 01 /""]",3880201,https://api.discogs.com/masters/3880201,/release/3097797-Various-Formel-Eins-Hit-Kick,535 866-2,Various - Formel Eins - Hit-Kick,,,https://api.discogs.com/releases/3097797,"{""want"": 14, ""have"": 144}",2,"[{""name"": ""CD"", ""qty"": ""2"", ""descriptions"": [""Compilation"", ""Stereo""]}]",QVr1-qc05Tt1zIRKJT_YgORTwDg
1508,Europe,1995,"[""Box Set"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""Album"", ""Reissue"", ""CD"", ""Compilation"", ""CD"", ""Album"", ""Reissue"", ""CD"", ""Album"", ""Reissue"", ""CD"", ""Album"", ""Reissue"", ""CD"", ""Compilation"", ""CD"", ""Album"", ""Reissue"", ""CD"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""Album"", ""Reissue"", ""CD"", ""Album"", ""Reissue"", ""CD"", ""Compilation"", ""CD"", ""Album"", ""Reissue"", ""CD"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""Compilation"", ""CD"", ""CD-ROM""]","[""Harmonia Mundi"", ""Harmonia Mundi s.a."", ""Harmonia Mundi""]",release,"[""Classical""]","[""Classical"", ""Early"", ""Renaissance"", ""Baroque"", ""Religious"", ""Choral"", ""Oratorio"", ""Romantic"", ""Contemporary""]",3261949,"[""794881926725"", ""LC7045"", ""HMX290830433 CD1 27468"", ""HMX290830433 CD2 27469"", ""HMX290830433 CD3 27470"", ""HMX290830433 CD4 27471"", ""HMX290830433 CD5 27472"", ""HMX290830433 CD6 27473"", ""HMX290830433 CD7 27474"", ""HMX290830433 CD8 27475"", ""HMX290830433 CD9 27476"", ""HMX290830433 CD10 27477"", ""HMX290830433 CD11 27478"", ""HMX290830433 CD12 27479"", ""HMX290830433 CD13 27480"", ""HMX290830433 CD14 27481"", ""HMX290830433 CD15 27482"", ""HMX290830433 CD16 27483"", ""HMX290830433 CD17 27484"", ""HMX290830433 CD18 27485"", ""HMX290830433 CD19 27486"", ""HMX290830433 CD20 27487"", ""HMX290830433 CD21 27488"", ""HMX290830433 CD22 27489"", ""HMG501608 24498"", ""HMX290830433 CD24 27491"", ""HMX290830433 CD25 27492"", ""HMX290830433 CD26 27493"", ""HMX290830433 CD27 27494"", ""HMX290830433 CD28 27495"", ""HMX290830433 CD29 27496"", ""HMX290830433 CD30 27497"", ""IFPI L213"", ""IFPI LN13"", ""IFPI 3720"", ""IFPI 3721"", ""IFPI 3722""]",0,,/release/3261949-Various-Sacred-Music-Cornerstone-Works-Of-Sacred-Music,HMX 2908304.33,Various - Sacred Music - Cornerstone Works Of Sacred Music,,,https://api.discogs.com/releases/3261949,"{""want"": 61, ""have"": 237}",30,"[{""name"": ""Box Set"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Album"", ""Reissue""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""2"", ""descriptions"": [""Album"", ""Reissue""]}, {""name"": ""CD"", ""qty"": ""2"", ""descriptions"": [""Album"", ""Reissue""]}, {""name"": ""CD"", ""qty"": ""2"", ""descriptions"": [""Album"", ""Reissue""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""2"", ""descriptions"": [""Album"", ""Reissue""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Album"", ""Reissue""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Album"", ""Reissue""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Album"", ""Reissue""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""2"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""CD-ROM""]}]",QVr1-qc05Tt1zIRKJT_YgORTwDg
1509,Australia,2006,"[""Vinyl"", ""LP"", ""Compilation""]","[""The Silver Jubilee Committee Organisation"", ""The Silver Jubilee Committee Organisation"", ""EMI (Australia) Limited"", ""Festival Records Pty. Ltd."", ""EMI (Australia) Limited"", ""Festival Records Pty. Ltd."", ""EMI (Australia) Limited"", ""Razzle Records Pty. Ltd."", ""Solid Music"", ""Tumbleweed"", ""April Music"", ""Mushroom Music"", ""Sparmac Productions"", ""J. Albert & Son Pty. Ltd."", ""Leeds Music Ltd."", ""Festival Music Pty. Ltd."", ""Porter Music"", ""Chappell"", ""Glenrich Pty. Ltd."", ""Countdown (ABC Australia)""]",release,"[""Rock"", ""Funk / Soul"", ""Pop""]",[],4830506,"[""SMX46703"", ""SMX46704"", ""SMX∙46703-1"", ""SMX∙46704-2 ∙∙2A""]",1502101,https://api.discogs.com/masters/1502101,/Various-Countdown-Silver-Jubilee-Australian-Top-20/release/4830506,SCA 020,Various - Countdown Silver Jubilee Australian Top 20,,,https://api.discogs.com/releases/4830506,"{""want"": 17, ""have"": 465}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""LP"", ""Compilation""]}]",QVr1-qc05Tt1zIRKJT_YgORTwDg
1510,Australia,1997,"[""Vinyl"", ""LP"", ""Album""]","[""Island Records"", ""Island Records"", ""Island Records Ltd."", ""Festival Records Pty. Ltd."", ""Festival Records Pty. Ltd."", ""Island"", ""Island Records""]",release,"[""Rock""]","[""Folk Rock"", ""Pop Rock""]",13765987,"[""SMX37279"", ""SMX37280"", ""5 SMX 37279 2A"", ""2 SMX 37280 SP 4460 RE-1 M-1 MR △15396-X STERLING LH""]",37103,https://api.discogs.com/masters/37103,/release/13765987-Cat-Stevens-Tea-For-The-Tillerman,SIL-934028,Cat Stevens - Tea For The Tillerman,,,https://api.discogs.com/releases/13765987,"{""want"": 143, ""have"": 238}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""LP"", ""Album""]}]",QVr1-qc05Tt1zIRKJT_YgORTwDg
1511,Italy,2015,"[""CD"", ""Compilation"", ""Mixed""]","[""Do It Yourself"", ""Discomagic S.p.A."", ""Do It Yourself Records Company"", ""Future Disc S.r.l."", ""Fma Edizioni Musicali"", ""Conte Max"", ""Southern Fried Music"", ""Oid Mortales"", ""Lombardoni Edizioni Musicali"", ""Mascotte Edizioni Musicali"", ""Edizioni Camaleonte"", ""SIAE"", ""Edizioni Musicali Camaleonte"", ""Edizioni Dig It"", ""Sym Music"", ""Energy Production"", ""D-Boy Records"", ""XSV Music"", ""Mid-Town Publishing Holland"", ""Ruffneck Records""]",release,"[""Electronic""]","[""Makina"", ""Progressive Trance"", ""Hard Trance"", ""Techno"", ""Happy Hardcore"", ""Hardcore""]",139092,"[""8017983411053"", ""8 017983 411053"", ""S.I.A.E."", ""FUTURE DISC srl DIY95015CD"", ""2546-A"", ""IFPI L081""]",118309,https://api.discogs.com/masters/118309,/release/139092-Various-Makina-Compilation,CD DIY 95015,Various - Makina Compilation,,,https://api.discogs.com/releases/139092,"{""want"": 24, ""have"": 111}",1,"[{""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation"", ""Mixed""]}]",QVr1-qc05Tt1zIRKJT_YgORTwDg
